,Vg,Gsd_0.03_K,Gsd_0.5_K,Gsd_1.0_K,Gsd_9.71_K,Gsd_20.01_K,Gsd_29.0_K,Gsd_29.08_K,Gsd_59.48_K,Gsd_72.82_K,Gsd_185.76_K,Gsd_188.53_K,Gsd_205.29_K,Gsd_238.49_K,Gsd_275.6_K,Gsd_283.15_K,Gsd_294.48_K,Gsd_294.68_K,Gsd_294.9_K,Gsd_295.13_K,Gsd_295.31_K,Gsd_295.49_K
20,-19.217986314760505,6.312501606015013e-12,1.1370219810511106e-11,1.4791386759161806e-11,-5.031838295423397e-11,2.540685435095472e-11,-2.203211438691964e-11,5.5386139424659866e-11,1.7443685177652008e-10,1.806204243890454e-10,4.0679230958117964e-10,5.5919328262063e-10,6.033826760413052e-10,6.155361943892894e-10,5.34269519879363e-10,7.593641735201396e-10,1.2570583256706035e-09,1.4617668270556803e-09,8.512682743330587e-10,2.847592907752411e-10,5.221624285159082e-10,4.758628031077187e-10
21,-19.178885630498534,-8.156092218974158e-14,6.83104084787291e-11,1.101097532109823e-10,4.545515617813424e-11,4.892149533028944e-11,3.411379638771466e-11,3.8066364106594267e-11,1.1026628744089592e-10,2.973184178596462e-10,3.8120570750757886e-10,5.706877259869421e-10,6.705666027193175e-10,6.11805723331817e-10,6.239843373489741e-10,7.593641735201396e-10,1.2570583256706035e-09,1.4617668270556803e-09,8.512682743330587e-10,2.847592907752411e-10,5.221624285159082e-10,4.758628031077187e-10
22,-19.13978494623656,1.134449675001494e-11,-5.7699332627638774e-11,4.64251037493647e-11,-1.0796783793812413e-11,-5.445759957549038e-13,3.29035577957348e-11,1.0223096822256999e-10,2.717954960360703e-11,2.6497888520438123e-10,5.00473497389161e-10,4.69950263711109e-10,5.339812333925807e-10,6.343632782693165e-10,6.563219878291641e-10,7.593641735201396e-10,1.2570583256706035e-09,1.4617668270556803e-09,8.512682743330587e-10,2.847592907752411e-10,5.221624285159082e-10,4.758628031077187e-10
23,-19.100684261974585,1.0567158431252068e-11,-5.7699332627638774e-11,-4.7339213458899906e-11,-6.484720628787406e-12,2.83455570728048e-12,3.29035577957348e-11,5.5263170650819954e-11,2.1956137252859962e-10,4.268559825059414e-10,5.399775295807953e-10,5.29968436068658e-10,4.876242016428987e-10,7.823925859310448e-10,6.079839667806495e-10,7.593641735201396e-10,1.2570583256706035e-09,1.4617668270556803e-09,8.512682743330587e-10,2.847592907752411e-10,5.221624285159082e-10,4.758628031077187e-10
24,-19.06158357771261,2.797821923960224e-11,1.431456906610272e-11,-3.030239179946024e-11,4.363854350564427e-11,3.08488499736988e-12,-9.034440530500548e-14,4.060541832368771e-11,1.780926632224002e-10,5.784824404892419e-10,4.5418924307684913e-10,6.247453634826168e-10,6.459687699675263e-10,9.4735739149182e-10,5.932603383258945e-10,5.020055879249336e-10,1.2263725975429886e-09,1.6147663317766537e-09,1.0128266566487161e-09,4.886277146692633e-10,5.176257591212882e-10,1.7796718488207742e-10
25,-19.022482893450636,2.200199958571976e-11,1.560028287978591e-10,2.431331061533049e-11,5.353094216227981e-11,2.343119788206979e-11,2.864043117925081e-12,2.71742167753631e-11,2.8827644865442113e-10,6.30767382732264e-10,5.111244126129558e-10,4.0834071230121943e-10,1.287357266816981e-09,7.394953057207552e-10,5.603953651209027e-10,5.020055879249336e-10,1.2263725975429886e-09,1.6147663317766537e-09,1.0128266566487161e-09,4.886277146692633e-10,5.176257591212882e-10,1.7796718488207742e-10
26,-18.98338220918866,2.638182108924953e-13,2.1340665993531192e-10,-1.6222216273680845e-10,-3.123783282622752e-11,4.29838602654442e-11,3.596773886557452e-11,6.95325675134193e-11,2.7519250841169636e-10,7.510113941004303e-10,4.879128018258966e-10,4.5046316376093426e-10,5.831081995053295e-10,3.8214867723507237e-10,5.588240626038327e-10,5.020055879249336e-10,1.2263725975429886e-09,1.6147663317766537e-09,1.0128266566487161e-09,4.886277146692633e-10,5.176257591212882e-10,1.7796718488207742e-10
27,-18.944281524926687,2.6896909642817445e-11,2.908299328815606e-10,-1.2310491752905276e-10,1.008083575389816e-10,6.128048446107415e-11,5.265259377916923e-11,1.6338534694680107e-11,3.568290303306803e-10,6.149555433692748e-10,5.505917423903721e-10,5.520403898291354e-10,5.131628082515756e-10,3.0681650083210084e-10,3.5632837175305775e-10,5.020055879249336e-10,1.2263725975429886e-09,1.6147663317766537e-09,1.0128266566487161e-09,4.886277146692633e-10,5.176257591212882e-10,1.7796718488207742e-10
28,-18.905180840664716,-1.6646584020686825e-11,1.104579556066769e-10,-7.908397878023343e-11,1.165116581364705e-10,5.0439155855164507e-11,3.818619592254443e-11,-1.9357480824516702e-10,2.536946180584715e-10,5.379391339421751e-10,5.844112920693526e-10,5.081339500671707e-10,5.399919595904993e-10,3.303615703087656e-10,3.9736794513448456e-10,5.020055879249336e-10,1.2263725975429886e-09,1.6147663317766537e-09,1.0128266566487161e-09,4.886277146692633e-10,5.176257591212882e-10,1.7796718488207742e-10
29,-18.866080156402738,4.407301225865908e-11,3.125665457783161e-11,-2.9493683895829843e-11,1.3146710782499133e-10,6.541625055960385e-11,4.090782112361936e-11,6.724384258470966e-11,3.0597171790506345e-10,3.9278798571228736e-10,4.8092522674777e-10,4.770630034329161e-10,6.523593818407734e-10,4.988843142087081e-10,4.176104246930772e-10,6.389294350745819e-10,1.4020221974779718e-09,9.397267399213527e-10,1.1886425153876742e-09,3.520652451408357e-10,5.98315860658332e-10,4.6221075967824383e-10
